Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,
94,Arlington Heights,45.519496,-122.710667,Powell's City of Books,45.52318,-122.681375,Bookstore
95,Arlington Heights,45.519496,-122.710667,Powell's Books Orange Room,45.52356,-122.681888,Bookstore
96,Arlington Heights,45.519496,-122.710667,TOMS Store - Portland,45.523096,-122.683692,Shoe Store
97,Arlington Heights,45.519496,-122.710667,Korean Twist,45.52023,-122.681936,Food Truck
98,Arlington Heights,45.519496,-122.710667,Byways Cafe,45.526474,-122.683618,Diner
99,Arlington Heights,45.519496,-122.710667,lululemon athletica,45.523784,-122.683862,Clothing Store
100,Forest Park,45.561468,-122.758581,Forest Park,45.560008,-122.756338,Forest
101,Forest Park,45.561468,-122.758581,Saltzman Trail,45.56626,-122.752895,Trail
102,Forest Park,45.561468,-122.758581,Forest Park - Ridge Trailhead,45.582208,-122.76829,Trail
103,Forest Park,45.561468,-122.758581,Forest Heights Park,45.543284,-122.776122,Park
104,Forest Park,45.561468,-122.758581,Penske Truck Rental,45.552572,-122.72953,Rental Car Location
105,Forest Park,45.561468,-122.758581,Subway,45.553778,-122.731134,Sandwich Place
106,Forest Park,45.561468,-122.758581,Food Sak Deli,45.553763,-122.731181,Deli / Bodega
107,Forest Park,45.561468,-122.758581,Miller Hollow Trail,45.543677,-122.775185,Trail
108,Forest Park,45.561468,-122.758581,Forest Park Elementary Field,45.544,-122.778089,Soccer Field
109,Goose Hollow,45.517749,-122.692819,Providence Park,45.521548,-122.691772,Soccer Stadium
110,Goose Hollow,45.517749,-122.692819,Multnomah Athletic Club (MAC),45.520244,-122.69219,Gym / Fitness Center
111,Goose Hollow,45.517749,-122.692819,Hotel deLuxe,45.520987,-122.687705,Hotel
112,Goose Hollow,45.517749,-122.692819,The Civic Taproom & Bottle Shop,45.522594,-122.690254,Beer Store
113,Goose Hollow,45.517749,-122.692819,Elephants Delicatessen,45.523832,-122.696549,Deli / Bodega
114,Goose Hollow,45.517749,-122.692819,Coava Coffee Roasters,45.516537,-122.685949,Coffee Shop
115,Goose Hollow,45.517749,-122.692819,Artists Repertory Theatre,45.521737,-122.687596,Theater
116,Goose Hollow,45.517749,-122.692819,Amazon@Downtown Portland,45.516478,-122.685721,Shipping Store
117,Goose Hollow,45.517749,-122.692819,Driftwood Room,45.520987,-122.687705,Cocktail Bar
118,Goose Hollow,45.517749,-122.692819,Timbers Army Fanladen,45.522561,-122.68866,Athletics & Sports
119,Goose Hollow,45.517749,-122.692819,Blue Star Donuts,45.520722,-122.683843,Donut Shop
120,Goose Hollow,45.517749,-122.692819,Little Red's Bakeshop & Cafe,45.520561,-122.68671,Bakery
121,Goose Hollow,45.517749,-122.692819,Portland Art Museum,45.51623,-122.683597,Art Museum
122,Goose Hollow,45.517749,-122.692819,Tasty ’N Alder,45.521304,-122.68347,American Restaurant
123,Goose Hollow,45.517749,-122.692819,Multnomah Whisk{e}y Library,45.52103,-122.683398,Cocktail Bar
124,Goose Hollow,45.517749,-122.692819,Uno Mas Taquiza,45.522816,-122.690498,Taco Place
125,Goose Hollow,45.517749,-122.692819,The Daily Feast,45.519062,-122.683853,Diner
126,Goose Hollow,45.517749,-122.692819,Portland Farmer's Market at PSU,45.512236,-122.684965,Farmers Market
127,Goose Hollow,45.517749,-122.692819,Shalom Y'All,45.521089,-122.683397,Israeli Restaurant
128,Goose Hollow,45.517749,-122.692819,Grassa,45.521985,-122.683675,Italian Restaurant
129,Goose Hollow,45.517749,-122.692819,Ringside,45.523357,-122.695709,Steakhouse
130,Goose Hollow,45.517749,-122.692819,Zupan's Market,45.523246,-122.698888,Grocery Store
131,Goose Hollow,45.517749,-122.692819,Cacao Drink Chocolate,45.522618,-122.684186,Dessert Shop
132,Goose Hollow,45.517749,-122.692819,Arlene Schnitzer Concert Hall,45.517229,-122.681552,Concert Hall
133,Goose Hollow,45.517749,-122.692819,Lardo West,45.522029,-122.683464,Sandwich Place
134,Goose Hollow,45.517749,-122.692819,Ken's Artisan Bakery,45.525463,-122.694339,Bakery
135,Goose Hollow,45.517749,-122.692819,South Park Blocks,45.515618,-122.682807,Park
136,Goose Hollow,45.517749,-122.692819,Heart Coffee,45.521439,-122.683713,Coffee Shop
137,Goose Hollow,45.517749,-122.692819,Korean Twist,45.52023,-122.681936,Food Truck
138,Goose Hollow,45.517749,-122.692819,Nong’s Khao Man Gai,45.522616,-122.684288,Thai Restaurant
139,Goose Hollow,45.517749,-122.692819,Washington Park,45.517835,-122.705784,Park
140,Goose Hollow,45.517749,-122.692819,Addy's Sandwich Bar,45.518534,-122.68272,Sandwich Place
141,Goose Hollow,45.517749,-122.692819,Stumptown Coffee Roasters,45.522213,-122.681752,Coffee Shop
142,Goose Hollow,45.517749,-122.692819,Ole Latte Coffee,45.520827,-122.682188,Food Truck
143,Goose Hollow,45.517749,-122.692819,Director Park,45.518846,-122.681299,Park
144,Goose Hollow,45.517749,-122.692819,Case Study Coffee,45.519248,-122.68242,Coffee Shop
145,Goose Hollow,45.517749,-122.692819,Bamboo Sushi,45.522417,-122.683003,Sushi Restaurant
146,Goose Hollow,45.517749,-122.692819,Alder Food Carts,45.520922,-122.681141,Street Food Gathering
147,Goose Hollow,45.517749,-122.692819,Kask,45.521374,-122.684047,Cocktail Bar
148,Goose Hollow,45.517749,-122.692819,Powell's City of Books,45.52318,-122.681375,Bookstore
149,Goose Hollow,45.517749,-122.692819,Higgins Restaurant & Bar,45.515464,-122.682074,French Restaurant
150,Goose Hollow,45.517749,-122.692819,Wailua Shave Ice,45.522464,-122.681684,Dessert Shop
151,Goose Hollow,45.517749,-122.692819,Huong's Vietnamese Food,45.520988,-122.681543,Food Truck
152,Goose Hollow,45.517749,-122.692819,"Fried Egg, I'm In Love",45.518799,-122.679621,Food Truck
153,Goose Hollow,45.517749,-122.692819,International Rose Test Garden,45.519075,-122.705616,Botanical Garden
154,Goose Hollow,45.517749,-122.692819,Sterling Coffee Roasters,45.525978,-122.694353,Coffee Shop
155,Goose Hollow,45.517749,-122.692819,Powell's Books Orange Room,45.52356,-122.681888,Bookstore
156,Goose Hollow,45.517749,-122.692819,TOMS Store - Portland,45.523096,-122.683692,Shoe Store
157,Goose Hollow,45.517749,-122.692819,Ruby Jewel Scoops,45.522111,-122.683345,Ice Cream Shop
158,Goose Hollow,45.517749,-122.692819,Powell's Books Gold Room,45.523182,-122.681416,Bookstore
159,Goose Hollow,45.517749,-122.692819,Mediterranean Exploration Company,45.525712,-122.684594,Mediterranean Restaurant
160,Goose Hollow,45.517749,-122.692819,Masu Sushi,45.522589,-122.684051,Sushi Restaurant
161,Goose Hollow,45.517749,-122.692819,The Danner Store,45.522836,-122.68167,Shoe Store
162,Goose Hollow,45.517749,-122.692819,lululemon athletica,45.523784,-122.683862,Clothing Store
163,Goose Hollow,45.517749,-122.692819,Clyde Common,45.522158,-122.681453,American Restaurant
164,Goose Hollow,45.517749,-122.692819,Southpark Seafood & Oyster Bar,45.517909,-122.681596,Seafood Restaurant
165,Goose Hollow,45.517749,-122.692819,Newmark Theatre,45.516715,-122.681206,Performing Arts Venue
166,Goose Hollow,45.517749,-122.692819,Trader Joe's,45.526149,-122.69514,Grocery Store
167,Goose Hollow,45.517749,-122.692819,Portland Japanese Garden,45.519457,-122.706937,Garden
168,Goose Hollow,45.517749,-122.692819,The Heathman Hotel,45.51714,-122.68113,Hotel
169,Goose Hollow,45.517749,-122.692819,Gerding Theater at The Armory,45.524201,-122.682149,Theater
170,Goose Hollow,45.517749,-122.692819,Powell's Books Rose Room,45.523484,-122.681471,Bookstore
171,Goose Hollow,45.517749,-122.692819,Deschutes Brewery Portland Public House,45.524544,-122.681982,Brewery
172,Goose Hollow,45.517749,-122.692819,Brunch Box,45.52001,-122.681,Burger Joint
173,Goose Hollow,45.517749,-122.692819,Sentinel Hotel,45.52059,-122.68258,Hotel
174,Goose Hollow,45.517749,-122.692819,Oven & Shaker,45.524967,-122.682802,Pizza Place
175,Goose Hollow,45.517749,-122.692819,Aybla Mediterranean Grill,45.52063,-122.681376,Food Truck
176,Goose Hollow,45.517749,-122.692819,10 Barrel Brewing,45.525907,-122.685474,Brewery
177,Goose Hollow,45.517749,-122.692819,The Melting Pot,45.51661,-122.67936,Fondue Restaurant
178,Goose Hollow,45.517749,-122.692819,Andina,45.526463,-122.684632,Peruvian Restaurant
179,Goose Hollow,45.517749,-122.692819,Living Room Theatres,45.522314,-122.681302,Movie Theater
180,Goose Hollow,45.517749,-122.692819,The Good Mod,45.523138,-122.684545,Furniture / Home Store
181,Goose Hollow,45.517749,-122.692819,Voicebox Karaoke,45.526926,-122.694792,Karaoke Bar
182,Goose Hollow,45.517749,-122.692819,YoYo Yogi,45.527072,-122.684631,Yoga Studio
183,Goose Hollow,45.517749,-122.692819,Barista,45.526954,-122.684357,Coffee Shop
184,Goose Hollow,45.517749,-122.692819,The Grilled Cheese Grill,45.521096,-122.681495,Food Truck
185,Goose Hollow,45.517749,-122.692819,Kimpton Hotel Monaco Portland,45.519876,-122.677367,Hotel
186,Goose Hollow,45.517749,-122.692819,Moonstruck Chocolate Company,45.526566,-122.698394,Candy Store
187,Goose Hollow,45.517749,-122.692819,Courier Coffee,45.522652,-122.680753,Coffee Shop
188,Goose Hollow,45.517749,-122.692819,KURE Juice Bar,45.517499,-122.678457,Juice Bar
189,Goose Hollow,45.517749,-122.692819,Byways Cafe,45.526474,-122.683618,Diner
190,Goose Hollow,45.517749,-122.692819,Tiffany & Co.,45.517608,-122.676712,Jewelry Store
191,Goose Hollow,45.517749,-122.692819,TILT,45.525274,-122.684335,Burger Joint
